directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica1/src/2/31/half_swarm,half_swarm,18725,28,50,702,1729
/scratch/alipour/replica1/src/2/32/no_swarm,no_swarm,6918,105,47,803,1729
/scratch/alipour/replica1/src/2/32/half_swarm,half_swarm,6918,27,47,761,1729
/scratch/alipour/replica1/src/2/33/no_swarm,no_swarm,18127,219,23,795,1729
/scratch/alipour/replica1/src/2/33/half_swarm,half_swarm,18127,27,23,715,1729
/scratch/alipour/replica1/src/2/34/no_swarm,no_swarm,10593,1,2,608,1729
/scratch/alipour/replica1/src/2/34/half_swarm,half_swarm,10593,4,2,1006,1729
/scratch/alipour/replica1/src/2/35/no_swarm,no_swarm,15411,353,12,1015,1729
/scratch/alipour/replica1/src/2/35/half_swarm,half_swarm,15411,21,12,992,1729
/scratch/alipour/replica1/src/2/36/half_swarm,half_swarm,19006,8,5,794,1729
/scratch/alipour/replica1/src/2/37/no_swarm,no_swarm,24407,15,21,640,1729
/scratch/alipour/replica1/src/2/37/half_swarm,half_swarm,24407,10,21,795,1729
/scratch/alipour/replica1/src/2/38/no_swarm,no_swarm,7321,61,48,801,1729
/scratch/alipour/replica1/src/2/38/half_swarm,half_swarm,7321,20,48,821,1729
/scratch/alipour/replica1/src/2/39/half_swarm,half_swarm,29581,8,5,819,1729
/scratch/alipour/replica1/src/2/40/no_swarm,no_swarm,19909,0,28,480,1729
/scratch/alipour/replica1/src/2/40/half_swarm,half_swarm,19909,36,28,799,1729
/scratch/alipour/replica1/src/2/41/no_swarm,no_swarm,18769,182,6,790,1729
/scratch/alipour/replica1/src/2/41/half_swarm,half_swarm,18769,9,6,783,1729
/scratch/alipour/replica1/src/2/42/half_swarm,half_swarm,22041,2,7,797,1729
/scratch/alipour/replica1/src/2/43/no_swarm,no_swarm,8112,14,10,713,1729
/scratch/alipour/replica1/src/2/43/half_swarm,half_swarm,8112,3,10,814,1729
/scratch/alipour/replica1/src/2/44/no_swarm,no_swarm,32415,33,19,561,1729
/scratch/alipour/replica1/src/2/44/half_swarm,half_swarm,32415,16,19,779,1729
/scratch/alipour/replica1/src/2/45/no_swarm,no_swarm,7323,64,48,772,1729
/scratch/alipour/replica1/src/2/45/half_swarm,half_swarm,7323,34,48,789,1729
/scratch/alipour/replica1/src/2/46/no_swarm,no_swarm,18936,577,58,679,1729
/scratch/alipour/replica1/src/2/46/half_swarm,half_swarm,18936,49,58,814,1729
/scratch/alipour/replica1/src/2/47/no_swarm,no_swarm,18440,139,26,795,1729
/scratch/alipour/replica1/src/2/47/half_swarm,half_swarm,18440,26,26,813,1729
/scratch/alipour/replica1/src/2/48/no_swarm,no_swarm,2829,75,30,822,1729
/scratch/alipour/replica1/src/2/48/half_swarm,half_swarm,2829,19,30,805,1729
/scratch/alipour/replica1/src/2/49/half_swarm,half_swarm,29056,34,64,812,1729
/scratch/alipour/replica1/src/3/0/no_swarm,no_swarm,7558,0,15,817,2522
