directory,target,hitrate,randomhitrate,swarmrate,mode
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.1.1/nosup,42292,0.486486486486,0.147058823529,0.155749636099,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.1.1/noswarm,42292,0.279069767442,0.147058823529,0.155749636099,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.2.1/halfswarm,261420,0.228571428571,0.352941176471,0.125181950509,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.2.1/nosup,261420,0.230769230769,0.352941176471,0.125181950509,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.2.1/noswarm,261420,0.486486486486,0.352941176471,0.125181950509,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.3.1/halfswarm,281322,0.375,0.205882352941,0.17903930131,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.3.1/nosup,281322,0.621621621622,0.205882352941,0.17903930131,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.3.1/noswarm,281322,0.509803921569,0.205882352941,0.17903930131,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.4.1/halfswarm,231769,0.756097560976,0.529411764706,0.296943231441,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.4.1/nosup,231769,0.722222222222,0.529411764706,0.296943231441,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.4.1/noswarm,231769,0.673913043478,0.529411764706,0.296943231441,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.0.1/halfswarm,194501,0.25,0.0,0.106060606061,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.0.1/nosup,194501,0.166666666667,0.0,0.106060606061,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.0.1/noswarm,194501,0.227272727273,0.0,0.106060606061,No-Swarm
